movie_id,movie_name,year,certificate,runtime,rating,description,director,director_id,star,star_id,votes,gross(in $),Genre1,Genre2,Genre3
tt0054357,Swiss Family Robinson,1960,G,126 min,7.1,A Swiss family must survive being shipwrecked on a deserted island.,Ken Annakin,/name/nm0002175/,"John Mills, 
Dorothy McGuire, 
James MacArthur, 
Janet Munro","/name/nm0590055/,/name/nm0570192/,/name/nm0531279/,/name/nm0613130/",16912.0,40356000.0,Adventure, Family,
tt0046672,"20,000 Leagues Under the Sea",1954,G,127 min,7.2,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",Richard Fleischer,/name/nm0281507/,"Kirk Douglas, 
James Mason, 
Paul Lukas, 
Peter Lorre","/name/nm0000018/,/name/nm0000051/,/name/nm0510134/,/name/nm0000048/",34840.0,28200000.0,Adventure, Drama, Family
tt0402894,Casanova,2005,R,112 min,6.5,"The fabled romantic Giacomo Casanova, after failing to win the affection of the Venetian woman Francesca Bruni, strives to discover the real meaning of love.",Lasse Hallström,/name/nm0002120/,"Heath Ledger, 
Sienna Miller, 
Jeremy Irons, 
Oliver Platt","/name/nm0005132/,/name/nm1092227/,/name/nm0000460/,/name/nm0001624/",55107.0,11294832.0,Adventure, Comedy, Drama
tt0306841,The Lizzie McGuire Movie,2003,PG,94 min,5.5,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",Jim Fall,/name/nm0266302/,"Hilary Duff, 
Adam Lamberg, 
Clayton Snyder, 
Hallie Todd","/name/nm0240381/,/name/nm0483047/,/name/nm1032795/,/name/nm0604699/",40382.0,42734455.0,Adventure, Comedy, Family
tt0057546,The Sword in the Stone,1963,G,79 min,7.1,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.","Wolfgang Reitherman, 
Clyde Geronimi, 
David Hand",/name/nm0718627/,"Rickie Sorensen, 
Sebastian Cabot, 
Karl Swenson, 
Junius Matthews","/name/nm0314671/,/name/nm0359457/,/name/nm0814862/,/name/nm0001982/,/name/nm0842425/,/name/nm0560076/",100466.0,22182353.0,Animation, Adventure, Comedy
tt1449283,Winnie the Pooh,2011,G,63 min,7.1,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.","Stephen J. Anderson, 
Don Hall",/name/nm0027459/,"Jim Cummings, 
Craig Ferguson, 
John Cleese, 
Bud Luckey","/name/nm2320658/,/name/nm0191906/,/name/nm0272401/,/name/nm0000092/,/name/nm0524726/",26159.0,26692846.0,Animation, Adventure, Comedy
tt0066817,Bedknobs and Broomsticks,1971,G,117 min,7.0,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II.","Robert Stevenson, 
Ward Kimball",/name/nm0829038/,"Angela Lansbury, 
David Tomlinson, 
Roddy McDowall, 
Sam Jaffe","/name/nm0453832/,/name/nm0001450/,/name/nm0866835/,/name/nm0001522/,/name/nm0415488/",38843.0,18530000.0,Animation, Adventure, Comedy
tt0118158,White Squall,1996,PG-13,129 min,6.6,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,/name/nm0000631/,"Jeff Bridges, 
Caroline Goodall, 
John Savage, 
Scott Wolf","/name/nm0000313/,/name/nm0328751/,/name/nm0001698/,/name/nm0937930/",24383.0,10300000.0,Adventure, Drama,
tt0397313,Eight Below,2006,PG,120 min,7.3,Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.,Frank Marshall,/name/nm0550881/,"Paul Walker, 
Jason Biggs, 
Bruce Greenwood, 
Moon Bloodgood","/name/nm0908094/,/name/nm0004755/,/name/nm0339304/,/name/nm1291227/",65938.0,81612565.0,Adventure, Drama, Family
tt5523010,The Nutcracker and the Four Realms,2018,PG,99 min,5.6,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,"Lasse Hallström, 
Joe Johnston",/name/nm0002120/,"Mackenzie Foy, 
Keira Knightley, 
Morgan Freeman, 
Helen Mirren","/name/nm0002653/,/name/nm3237775/,/name/nm0461136/,/name/nm0000151/,/name/nm0000545/",34993.0,54858851.0,Adventure, Family, Fantasy
